description,country,variety
"Ripe and fruity, this is already delicious, but that doesn't detract from the firm tannins and density of a wine that will age well. It has all the elements, with the fruit, solid tannins and a juicy aftertaste. Drink from 2025.",Portugal,Port
"This is a major Douro wine from the Poças family-owned Port and wine producer. Dusty tannins already give it class as well as richness. Packed with black-plum fruits and with good concentration, the wine is still maturing. It needs to age further, so drink from 2019.",Portugal,Portuguese Red
"Full of ripe fruit, this wine is rich while also having a delicately perfumed character. With its spice, generous fruits and sense of poise, it will age well. Drink from 2027.",Portugal,Port
"Ripe, fruity and balanced, this has the potential to be a delicious, not-too-concentrated wine. Acidity and some dry tannins give the wine a firm character that is balanced by the fragrant berry fruits. Drink from 2026.",Portugal,Port
"Made from old vines, this rich rosé is full of fruit. It has fine acidity as well as wild-strawberry flavors. The texture, lightly mineral, gives the wine a crisp, tight shape. With a fresh aftertaste, the wine will be just right for food.",Portugal,Rosé
"A rich full wine that has swathes of black fruits. It has a dry core around which there are generous fruits and the right amount of acidity. Perfumed, ripe and concentrated, this is ready to drink now.",Portugal,Portuguese Red
"Syrah, Castelão and Aragonez go into the blend of this rich juicy wine. It is so soft and ripe, just hinting at tannins and with red-berry fruit. The wine is round and smooth, ready to drink.",Portugal,Portuguese Red
"Old vines, many up to 80-years-old, supply the grapes that were fermented in traditional granite lagars for a ripe jammy character in this powerful wine. It has solid tannins and great acidity, both of which will allow the wine to age. Drink this impressive wine from 2020.",Portugal,Portuguese Red
"This estate whose name means four winds is in the Douro Superior, the easternmost part of the Douro region. It is intensely rich and solid—a classic blend for the region with a dominance of Touriga Nacional and Touriga Franca, aged in wood and with plenty more aging ability. This black-fruit-flavored wine will be best from 2020.",Portugal,Portuguese Red
"The Reserva version of the popular Borba brand in Portugal is a dense, powerfully tannic wine. Its juicy black currant and blackberry fruits are suffused with tannins—its dry core surrounded by richness. Hints of dark chocolate and pepper come from the alcohol but certainly don't take away from the great fruitiness of the wine. Drink from 2019.",Portugal,Portuguese Red
"This producer specializes in seeking out parcels of old vines. In this case, the vines, planted at high density, have unusually crooked trunks. The wine itself, richly tannic and dense, has new wood flavors, ripe black-plum fruits and a dark firm character. It is still young and will develop into an impressively rich wine. Drink from 2019.",Portugal,Portuguese Red
"A just off-dry Vinho Verde, fresh and spritzy. Acidity, sweet apples and a breezy citrus edge combine easily and lightly. Ready to drink.",Portugal,Portuguese White
"This blend of Alvarinho and Trajadura is initially crisp and fresh. Gradually, it broadens out into a rich wine with a blend between lemon and yellow fruits that is delicious and concentrated. This tangy wine is developing well, and is ready to drink now although it will age.",Portugal,Portuguese White
"Ripe, fruity wine with quince and pineapple flavors, layered through with apple skin tannins. It could do with six months aging, but it will certainly be ready to drink by the fall.",Portugal,Portuguese White
"This LBV from the Bulas family vineyards, downriver from Pinhão is all ready to drink. It is fruity with just the right amount of structure. Fresh berry fruits are lifted by fine acidity and well integrated into the smooth, just tannic structure. Drink now.",Portugal,Port
"This is a fruity, juicy wine that has a dry tanninc core. That gives a mineral texture to the otherwise ripe and fruity wine. Full of black currant fruit flavors, shot through with acidity, the wine is ready to drink.",Portugal,Portuguese Red
"The dark color and high acidity of this wine are both typical of the Sousão grape which is normally found only in Douro blends. It is ripe, fruity and juicy although with tight acidity and black currant fruits. The wine's tannins suggest it needs to age, so drink from 2017.",Portugal,Sousão
"The balance between wood aging and fruit is at its best in this wine. It shows plenty of red fruits filled out with raisins and nutmeg. As a contrast the wood aging has brought out a spicy, almond character. It is fresh, on the dry side for an aged tawny and, of course, ready to drink.",Portugal,Port
"This deeply impressive blend of 20 different varieties comes from a vineyard at the top of the Gaivosa estate that was oddly ignored for many years. With black plum fruit, dense tannins and intense acidity, it's built for longterm aging. Drink from 2021.",Portugal,Portuguese Red
"From the historic Herdade do Mouchão in northern Alentejo, this is a powerful wine, full of dense tannins and impressively ripe, juicy black fruits. Syrah and Alicante Bouschet bring southern richness to Touriga Franca and Touriga Nacional. Drink this wine now.",Portugal,Portuguese Red
There is an attractive spiciness to this clean warm wine. White currants and acidity add to the approachability of a wine that is ready to drink.,Portugal,Portuguese White
This is a really refreshing style of rosé. Its fruity raspberry and red-currant flavors are shot through with fine acidity and a lively crisp aftertaste. Drink this attractive wine now.,Portugal,Rosé
"This is a crisp, clean and refreshing wine. There is just the lightest sense of tannin giving the wine a zingy edge. Other than that, it is red-berry fruits all the way. Drink now.",Portugal,Rosé
"This is a delicious and ripe-fruited wine. Dominated by Fernão Pires, it has an apple-puree texture: smooth and creamy. The wine has an edge of light acidity at the end to give it a lift. Drink now.",Portugal,Portuguese White
"This simple and fruity wine is made to be drunk young. And with its red fruits, light acidity and crisp texture, it succeeds. Drink the wine with summer barbecues.",Portugal,Portuguese Red
"The blend of Fernão Pires and Arinto is a classic for the region. It gives a light and perfumed wine with a creamy texture and plenty of balancing acidity. Bright and fruity, the wine has just a final tang to add crispness. Drink now.",Portugal,Portuguese White
"This is an open and ready-to-drink wine that has soft tannins and juicy blackberry fruit. With 50% Aragonez in the blend, it is has a smooth character that brings out plenty fruit and not too much structure. Drink now.",Portugal,Portuguese Red
This is a soft wine with its creamy fruits assimilated into the tangy texture. There is plenty of acidity to give this wine its cool character as well as its citrus and green-apple flavors. Drink now.,Portugal,Portuguese White
"A light, crisp blend of Merlot and Syrah, this is soft and gently fruity. Raspberry and red-currant flavors shine easily through this simple wine.",Portugal,Rosé
"Crisp, bright and fruity, this is a refreshing and ripe wine. With attractive citrus acidity and a bright aftertaste, the wine is ready to drink.",Portugal,Portuguese White
"The very local Tamarez grapes make an appearance in this lemon-colored and flavored wine. It is fruity, soft and bright with acidity. Drink now.",Portugal,Portuguese White
"Named after the poppy that blooms in May in the Alentejo, this wine is juicy and fruity, with a light touch of tannins. It is all red berries, with an easygoing juicy character, Drink now.",Portugal,Portuguese Red
"Young and fruity, this is a bright and wine for immediate drinking. It has hints of tannins, plenty of red fruits and no wood.",Portugal,Portuguese Red
"Structured and with solid tannins, this is a wood- and spice-laden wine. Its fruit lies somewhere behind all this structure and is likely to remain there.",Portugal,Portuguese Red
"There are firm and dusty tannins in this spicy wine. It has firm fruit, a solid texture and a juicy, nutmeg-flavored aftertaste. Drink from 2018 when some of the tannins have softened.",Portugal,Portuguese Red
"Tinta Miúda, known as the rare Graciano grape in Spain, is not often found in Portugal. Here it makes a ripe, juicy and jammy wine that's soft, with only a minimum of tannins to keep it together. It has a typically warm character and is ready to drink.",Portugal,Portuguese Red
"Lisboa, with its cool climate, lends itself to crisp rosés like this. This lively fruity wine is touched by hints of vanilla and layers of red-fruit flavors. It is light and ready to drink.",Portugal,Rosé
"Mula Velha, “the old donkey,” is a younger wine than its name suggests. Brisk and fruity, it offers firm tannins and layers of blackberry fruit. With a touch of oak aging, the wine is developing well and will be ready to drink from late 2017.",Portugal,Portuguese Red
"This wine is ripe, full of black fruits and soft tannins. With plenty of acidity to keep it crisp, the wine has a cool, flavorful character topped off by berry fruits. It's ready to drink.",Portugal,Portuguese Red
"This wine is light in tannins and ripe in fruit, with a delicious red-berry character. Drink this attractive wine from 2019.",Portugal,Portuguese Red
"This wine is smooth and soft, with an attractive creamy texture and light acidity. Yellow fruits and stewed pears are lifted by a mineral texture. The wine is named after the vineyard rather than after the literal Portuguese meaning of “scantily dressed.” Drink now.",Portugal,Portuguese White
"Rounded but also fruity, this soft wine is perfumed, hinting at white flowers and tropical fruits. While the acidity is low, the fruit is easy, ripe and lightly structured.",Portugal,Bical
"A firm wine, with dark chocolate and coffee flavors. The fruit flavors are  dark fig and stewed plums; there is a bitter edge to the tannins.",Portugal,Portuguese Red
"A soft, lightly sweet style of rosé, flavored with strawberries and a touch of caramel. Fresh, and flavorful, with balancing acidity, this is a good apéritif wine.",Portugal,Touriga Nacional
"The local grape Castelão is blended with Cabernet Sauvignon in this soft, spicy and fruity wine. Red fruits and balanced acidity are given a shove by a lightly tannic structure. The wine is ready to drink.",Portugal,Portuguese Red
"It seems perverse to plant Gewürztraminer in the Douro and this wine is as much a curiosity as it is attractively perfumed. Showing all the hallmarks of the grape, the palate carries flavors of lychee and rosewater, although it all seems muted. The acidity does give a final lift.",Portugal,Gewürztraminer
"A blend of Arinto and Tamarez, this wine is light and fruity, with attractive acidity and flavors of apricots sprayed with lemons. It has a light texture and a fresh, lively aftertaste. Drink now.",Portugal,Portuguese White
"While more herbal in character, this wine also carries grapefruit, lemon and quince flavors. It is fresh with a steely mineral character that adds some interest. Drink now.",Portugal,Sauvignon Blanc
"Grassy, green aromas give this a herbal, crisp taste. It is tight and tangy, with green fruit aromas and a fresh aftertaste. Drink now.",Portugal,Portuguese White
"Pitch-black wine, very dense. It is spicy with concentrated black fruits, layered with equally intense acidity. Wood, fruit and sweet berries are all there. Tannins surround this firm wine, promising aging over 5–6 years.",Portugal,Portuguese Red
"A rich wine, full of dark plums, big and dusty tannins and a powerful core of dryness. The wood aging has brought out mint as well as spice, smoothing the rough edges to give an impressive and elegant finish. Keep for 4–5 years.",Portugal,Baga
"This wine looks and tastes bright pink. It is creamy, not quite dry and soft, although the aftertaste shows some fresh acidity. Crushed strawberry flavors suggest that it will pair well with fruit salad.",Portugal,Portuguese Sparkling
"Made from Castelão, the local grape of the Setúbal region, this wine is as bright and clean as possible. The light texture makes it ideal for summer drinking.",Portugal,Rosé
"This attractive blend of Chardonnay, Arinto and Vital is fresh, fruity, packed with apple and lemon flavors and totally ready to drink. There's a great line in acidity, a crisp texture and a green, lively aftertaste.",Portugal,Portuguese White
"Very Douro in its mineral texture and dry core, it also has a surround of ripe black fruits. It's concentrated and has some aging potential, although it can be drunk now.",Portugal,Portuguese Red
"Still young, it is full of spice from wood aging along with juicy black fruits. It is soft, dominated by black currant and acidity. Not for aging, it will be ready by the end of 2014.",Portugal,Portuguese Red
"Named after local nobility in the city of Borba, this is a popular brand in Portugal. In its white manifestation, the wine is soft, very clean, with pear and cinnamon flavors, the texture just moving toward fat, but working well as a food wine.",Portugal,Portuguese White
"A fine, crisp wine, with delicious green apple flavors and a tang of lime, a touch of yeast, and a dry, fresh aftertaste. There's a delicious bite to this fragrant wine.",Portugal,Alvarinho
"Ripe, smooth, just veering toward rustic, but also showing a fine balance of tannins and sweet fruit. It is certainly rich, while the spicy character, with the dried fruits, is generous. The acidity is understated.",Portugal,Aragonês
"The tannins are firm, still controlling the black fruits in this wine. It is concentrated, with considerable extraction giving a dry wine with a hard edge. The red-berry flavors are lost.",Portugal,Portuguese Red
"This wine is ripe with red fruits and soft tannins. It is smooth, packed with red-berry flavors lifted by the acidity. Made to be drunk young, it is ready now.",Portugal,Portuguese Red
"Crisp. dry and fruity, this wine has a light touch of citrus and fresh acidity. Fruity with a slight sparkle, it's an ideal apéritif.",Portugal,Portuguese White
"This is the lightest in a series of wines featuring the Avesso grape. Herbal, crisp and with plenty of acidity, it's also fruity and ready to drink.",Portugal,Portuguese White
"Smooth red-berry fruits give this wine a glow of ripeness. The blend of Touriga Nacional, Syrah and Alicante Bouschet is dense and full of dark berries, with a touch of wood aging to smooth everything out. Drink now.",Portugal,Portuguese Red
"This densely tannic wine is bold and linear, with concentrated chocolate and spice flavors. Rich black fruits are layered with acidity and a tight, mineral texture. Still firm, the wine is not likely to soften more, so drink now.",Portugal,Portuguese Red
"This wine comes from vineyards outside the boundaries of the Dão region but has the same typical blend. It shows minerality as well as rich fruit and soft tannins. The wine is balanced, stylish and deliciously ready to drink.",Portugal,Portuguese Red
"Made to drink young, this fruity, softly structured wine is ripe with blackberry fruits. There is a touch of spice from the wood aging and a lining of attractive acidity. Drink now.",Portugal,Portuguese Red
"The quinta for this wine is on the plateau north of the Douro river. It has produced a red-fruit wine, rich with soft tannins and juicy fruitiness. The wood aging is already well integrated into this bold, ripe wine. Drink now.",Portugal,Portuguese Red
"This wine is light in body but heavily perfumed. Clean fruit shows on the palate, with an addition of geranium aromas.",Portugal,Port
This full-bodied wine conveys Douro warmth. A light touch of tannin gives it shape. Pepper and red-berry fruits complete a generous wine that will be best with food. Drink now.,Portugal,Rosé
"This simple, open and fruity wine has gentle tannins. It is all about ripe berries and acidity. Made to be drunk young for its fruitiness, it is ready now.",Portugal,Portuguese Red
"From vines grown in the upper Douro Superior, this is crisp while also having ripe apple and apricot fruitiness. It is a lively wine, tangy with orange zest and a touch of spice. Drink now.",Portugal,Portuguese White
"This ripe, full-bodied rosé is made from 100% rich, perfumed Touriga Nacional. Good balance between ripe strawberry fruits and the crisp acidity make it both fruity and warm. Drink now.",Portugal,Rosé
"Although known in the Douro as an increasingly essential component of Port and table wines, the Touriga Nacional is equally at home in the Dão. As here, it produces linear wines, very mineral, full of acidity with a perfumed elegance. This is a wine for aging over 4–5 years.",Portugal,Touriga Nacional
"A wild, herbal, wood-aged wine, its acidity a fine foil to the richly perfumed fruit. Pears and sweet melon come together with the toast of the wood. At this stage, the wood dominates and needs a year to soften—then the result will be impressively food-friendly.",Portugal,Cerceal
"The aroma shines with Syrah perfumes, while the palate brings together great ripe perfumed and spiced fruit, smooth, rich and dense. There is just an earthy element that needs to soften over the next two years.",Portugal,Touriga Nacional Blend
"A wine that starts out all tannins. The fruit takes a while to show through and then produces juicy red cherry flavors and considerable acidity, the wood aging rounding the corners. This is for medium-term aging.",Portugal,Portuguese Red
"This feels very ripe, perhaps overripe, with its seemingly sweet flavor of black fruit juice and its soft structure. It's appealing and does have some tannins, but it is not for aging.",Portugal,Portuguese Red
This is a fresh and fragrant rosé from the Vinho Verde region. It has light acidity and a red fruit flavor. The lightest prickle gives just that extra lift.,Portugal,Rosé
"Soft, round and gentle, this has a creamed apple flavor. It has a full, ripe character, with just an edge of green herb and spice.",Portugal,Portuguese White
"Light and stalky, this has black currant fruit and considerable acidity. With its soft tannins and fruity character, it is ready to drink now.",Portugal,Portuguese Red
"Lightweight, with smooth red fruit and acidity, this is soft and round. The berry fruit neatly merges with the gentle tannins.",Portugal,Tinta Roriz
"This is a lively, off-dry wine with intense acidity to accompany its crisp apple and citrus flavors. Very fruity, it's ready to drink now. Screwcap.",Portugal,Portuguese White
"The fresh acidity typical of Fernão Pires is broadened by wood aging to yield a wine that has peach, apricot and green-fruit flavors, enhanced by floral aromas. There is a final, mineral texture.",Portugal,Fernão Pires
"Yellow fruits and apple juice combine in this fresh, mineral-driven wine. It's tangy, tight with acidity while allowing room for pineapple and tropical flavors at the end. It's ready to drink but will be better in 2016.",Portugal,Antão Vaz
"Made principally from Touriga Nacional, this is a rich wine with attractive acidity and strawberry fruitiness. It is ripe, touched with caramel and finished with wild raspberry flavors.",Portugal,Rosé
"Soft and ripe, this has strawberry fruit flavors, a soft texture and a warm, rich feel. There is just enough acidity to balance this really food-friendly rosé.",Portugal,Rosé
"The pink hue is a little flat. That also applies to the palate, with the fruit showing some maturity and hinting at wood aging. It's a rounded style, full in the mouth, with ripe caramel flavors at the end. Drink now.",Portugal,Port
"Light and bright, this has a crisp prickle on the tongue, along with canned grapefruit and tight apple-skin flavors. It is almost dry, which gives the wine a mineral texture that adds a bite. Drink now.",Portugal,Portuguese White
"This mature wine, has lost youthful fruitiness and gained a more nutty, smooth and rich quality. There are touches of toastiness and almonds, with an aromatic aftertaste. Drink now.",Portugal,Arinto
"This is a fruity, juicy wine with wood and bright red fruits in equal balance. The entry-level wine made by a grouping of 19 growers, it has concentration along with minerality and acidity. It needs to age further, so drink from 2018.",Portugal,Portuguese Red
"Named after a local volcanic rock formation, this wine is a delicious blend of Aragonez (aka Tempranillo) and Touriga Nacional. It is rich and smooth with black fruits, soft tannins and an aftertaste that is lively with acidity. The wine is ready to drink.",Portugal,Portuguese Red
"This fruity, jammy and ripe wine is full of black-plum flavors. It has solid tannins and a dense structure along with layers of wood aging and fruitier acidity. Drink this wine now.",Portugal,Aragonez
"Not many wines come from Bucelas today, as its vineyards get eaten up by the northern Lisbon suburbs. This Arinto-based wine suggests there should be some more of this ultra-crisp white, which bears a passing resemblance to a Vinho Verde in its super-fresh apple and grapefruit flavors.",Portugal,Arinto
"An attractive salmon pink-colored wine, very fresh, with bright red currant acidity, fleshed out with some caramel, raspberry and a dash of red apple skins texture.",Portugal,Touriga Nacional
"Portugal's popular brand is a lively, fresh, spice- and dried fruit-flavored wine. There are flavors of pound cake and nutmeg surrounding a core of solid, firm tannins. Great with food, this is not for aging.",Portugal,Portuguese Red
"The second wine from Malhadinha Nova is lively and fruity, packed with red fruits, sweet strawberry flavors and easy, ripe texture. Drink now.",Portugal,Portuguese Red
"An unexpected combination perhaps, but it works to give a fresh, flavorful wine, with soft tannins, juicy fruit and flavors of red cherries and vanilla. Not complex, and ready to drink now.",Portugal,Red Blend
"Fresh green-apple aromas and some ripe, mango flavors, this is well rounded, showing some acidity, but more of open, fresh fruits. This is a wine that will be perfect to drink over the next few months.",Portugal,Portuguese White
"One of the principle grapes of the Alentejo, Antão Vaz blends easily with the Arinto of neighboring Ribatejo. There is an attractive citrus element to this wood-aged wine, soft, open, but remaining fresh, the tropical fruit flavors well under control.",Portugal,Portuguese White
"This wine has fine tannins, ripe berry fruits and well-integrated acidity. Rich and juicy, it offers blackberry flavors and a crisp aftertaste. Drink this wine, part of a range of wines from across Portugal, from 2018.",Portugal,Portuguese Red
"A blend from two vineyards, this wine is rich and full bodied, with fine tannins and a dark concentration. With its perfumed character and tight structure, it is impressive, full of black fruits with a strong mineral streak. Drink this still-young wine from 2019.",Portugal,Portuguese Red
"Produced in the Douro Superior region in the far east of the Douro Valley, this wine is dense with tarry tannins and black fruits. Wood aging and the concentration of old vines make it impressive. Drink now until 2022.",Portugal,Portuguese Red
"The Reserve version of this brand, this young wine is ripe and firm, with great potential. The Duas Quintas (two estates) are Ervamoira and Bons Ares, both in the Douro Superior. With attractive smoky flavors and ripe red-berry fruits it will become a rich wine. Drink from 2020.",Portugal,Portuguese Red
"This is a rich, full wine that has red fruits and soft tannins. With balanced acidity, only a hint of tannins, it is ready to drink.",Portugal,Portuguese Red
"This is a gentle, ripe wine that has pineapple and peach flavors and fresh fruitiness. It is smooth with balanced acidity and a zesty aftertaste. Drink now.",Portugal,Portuguese White
"A young, fresh blend of Arinto and Fernão Pires, the wine is fruity, light and with a crisp, bright aftertaste. Drink now.",Portugal,Portuguese White
"The wine is fresh with red berry flavors and a stalky tannic core. It's lightly perfumed, light in texture and ready to drink.",Portugal,Portuguese Red
"There is an attractive, light prickle on the tongue of this fresh, crisp and fruity wine. It is dry, tensely tangy with a green, zesty character. Drink now.",Portugal,Portuguese White
"The wine is fruity, although with a yeasty character that leaves a bready taste. It has acidity, ripe yellow fruits and the fruitiness may come to dominate although that is not certain.",Portugal,Portuguese White
"A blend of Moscatel and Arinto, this is light and thin with only the vaguest hint of citrus fruit acidity. It should be drunk now.",Portugal,Portuguese White
Rustic aromas are followed by rough-edged fruitiness in this young wine. It has ripe berry fruits as well as some firm tannins in the background. It is not yet integrated and needs to develop much more. Drink from 2018.,Portugal,Portuguese Red
"This light, bright wine comes from the north of the Vinho Verde region. It has freshly squeezed lemon juice with a touch of lime zest as well as spice. The lightest prickle on the tongue gives the wine a final lift.",Portugal,Portuguese White
"In this blend of Shiraz and Trincadeira, both grapes contribute red fruits, soft tannins and fresh-faced acidity. With no complications—just bright, juicy fruit—the wine is ready to drink.",Portugal,Portuguese Red
"Both mineral and herbaceous, this is a crisp, taut and textured wine. It shows a tangy character, lemon zest and bright acidity. It's still too young, so drink from the end of 2015.",Portugal,Portuguese White
"This structured wine has a strong mineral element. With black-currant and berry flavors, it is firm and still young. Swathes of rich fruit are sustained by solid tannins. Drink from late 2017.",Portugal,Portuguese Red
"The second wine of Vale Meão, this is rich and fruity. It has enough structure to allow it to develop while also having plenty of red-berry fruits and soft tannins. Give this wine until 2019.",Portugal,Portuguese Red
Red-berry fruits and soft tannins give a wine with some juicy acidity and spice. The firm aftertaste shows that it is still needs time. Drink from 2018.,Portugal,Portuguese Red
Spice from wood aging is the initial character of this wine. Then the fruit comes through more strongly to give the wine richness and structure. Drink from 2018.,Portugal,Portuguese Red
"A broad, welcoming wine, the second label from Malhadinha Nova. It has spiced acidity, flavors of plums, licorice, with cranberry juice tannins. The flavors are big and bold, nothing held back.",Portugal,Portuguese Red
"A fresh, juicy wine with berry fruits, ripe but intense tannins and a black cherry flavor. There is a delicious, final burst of acidity.",Portugal,Portuguese Red
"A firm, solidly tannic wine that is balanced easily between tight fruit tannins, elegant plum fruits and taut acidity. The aftertaste is smoky from the wood, but with the fruit always present.",Portugal,Touriga Nacional
"This LBV Port is powered by jammy damson and plum fruits along with dried figs and a juicy aftertaste. The palate is dry, with tannins just in evidence, although the balance is just right. Drink now.",Portugal,Port
"Bold and fruity, this wine shows the richness of the black fruits. It has fruit tannins, a lush texture and a dry core. With its density and its ripe fruit, it could age further. Drink from 2018.",Portugal,Portuguese Red
"The perfumes of Touriga Nacional dominate this soft, smooth wine. A layer of tannins gives structure, and the ripeness of the fruit creates a delicious, full-bodied wine.",Portugal,Portuguese Red
"This wood-aged white is richly endowed with yellow and crisp apple fruits. Balanced with the toast and spice, they give a ripe, opulent wine that is ready to drink.",Portugal,Portuguese White
"An herbal wine, crisp and green with an attractive citrus edge. Some yellow fruits show while it is the acidity and taut mineral character that is dominant.",Portugal,Portuguese White
"Dark, burly wine, rich with dusty tannins and plump black plum fruits. The texture is soft, Porty in its sweetness, although the acidity retains freshness. With its juicy aftertaste, the wine could age for 1–2 years.",Portugal,Touriga Nacional
"A ripe and juicy wine, the wood flavors giving considerable spice character. Acidity and blackberry fruits work into a wine that has an attractive, if rough-at-the-edges, character.",Portugal,Portuguese Red
